transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale,,
180,05-11-2022,10:47:00,117,Male,41,Clothing,3,300,129,900,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('180','44870', 0.449305555555556,117,'Male',41,'Clothing',3,300,129,900),"
522,09-07-2022,11:00:00,52,Male,46,Beauty,3,500,145,1500,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('522','44751', 0.458333333333333,52,'Male',46,'Beauty',3,500,145,1500),"
559,12-12-2022,10:48:00,5,Female,40,Clothing,4,300,84,1200,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('559','44907', 0.45,5,'Female',40,'Clothing',4,300,84,1200),"
1180,06-01-2022,08:53:00,85,Male,41,Clothing,3,300,129,900,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1180','44567', 0.370138888888889,85,'Male',41,'Clothing',3,300,129,900),"
1522,14-11-2022,08:35:00,48,Male,46,Beauty,3,500,235,1500,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1522','44879', 0.357638888888889,48,'Male',46,'Beauty',3,500,235,1500),"
1559,20-08-2022,07:40:00,49,Female,40,Clothing,4,300,144,1200,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('1559','44793', 0.319444444444444,49,'Female',40,'Clothing',4,300,144,1200),"
163,31-10-2022,09:38:00,144,Female,64,Clothing,3,50,23,150,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('163','44865', 0.401388888888889,144,'Female',64,'Clothing',3,50,23,150),"
303,22-04-2022,11:09:00,54,Male,19,Electronics,3,30,14.7,90,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('303','44673', 0.464583333333333,54,'Male',19,'Electronics',3,30,14.7,90),"
421,08-04-2022,08:43:00,66,Female,37,Clothing,3,500,235,1500,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('421','44659', 0.363194444444444,66,'Female',37,'Clothing',3,500,235,1500),"
979,18-05-2022,10:18:00,6,Female,19,Beauty,1,25,10.5,25,,"insert into Retail_sales (transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale) values ('979','44699', 0.429166666666667,6,'Female',19,'Beauty',1,25,10.5,25),"
